cellid,endid,blur,lon,lat,dist,blon,blat 
126.458772.32,458772,180.0,104.038,30.6939,500.0,104.038,30.689389977020095
126.458772.33,458772,330.0,104.038,30.6939,500.0,104.035390508459,30.69780576572741
126.458773.31,458773,90.0,104.102222,30.684722,500.0,104.10744027925689,30.684721895192816
126.458773.32,458773,190.0,104.102222,30.684722,500.0,104.10131589678805,30.680280484984273
126.458773.33,458773,340.0,104.102222,30.684722,500.0,104.10043716542522,30.688960026191253
126.458774.31,458774,10.0,104.023001,30.6489,500.0,104.0239068518783,30.65334153016988
126.458774.32,458774,0.0,104.023001,30.6489,500.0,104.023001,30.653410051112694
126.458774.33,458774,0.0,104.023001,30.6489,500.0,104.023001,30.653410051112694
126.458774.34,458774,310.0,104.023001,30.6489,500.0,104.01900492134021,30.65179894389711
126.458775.31,458775,54.0,104.022777,30.610277,500.0,104.02699555875931,30.612927889274484
126.458775.32,458775,180.0,104.022777,30.610277,500.0,104.022777,30.60576691894194
126.458775.33,458775,310.0,104.022777,30.610277,500.0,104.01878250824744,30.613175961226677
126.458776.31,458776,10.0,104.074512,30.666213,500.0,104.0754180133651,30.670654518323868
126.458776.32,458776,100.0,104.074512,30.666213,500.0,104.07964998066646,30.665429738040874
126.458776.33,458776,190.0,104.074512,30.666213,500.0,104.07360606950898,30.661771472321295
126.458777.31,458777,60.0,104.111666,30.653888,500.0,104.1161838323869,30.656142945703802
126.458777.32,458777,180.0,104.111666,30.653888,500.0,104.111666,30.64937794921926
126.458777.33,458777,300.0,104.111666,30.653888,500.0,104.1071481676131,30.656142945703802
126.458778.31,458778,60.0,104.0075,30.704722,500.0,104.01202019942855,30.706976927882735
126.458778.32,458778,180.0,104.0075,30.704722,500.0,104.0075,30.700211984542985
126.458778.33,458778,300.0,104.0075,30.704722,500.0,104.00297980057144,30.706976927882735
126.458779.31,458779,60.0,104.0138,30.68271,500.0,104.01831917371743,30.684964935601677
126.458779.32,458779,180.0,104.0138,30.68271,500.0,104.0138,30.67819996924302
126.458779.33,458779,300.0,104.0138,30.68271,500.0,104.00928082628258,30.684964935601677
126.458780.31,458780,60.0,103.9838,30.6637,500.0,103.98831828880415,30.665954942265316
126.458780.32,458780,180.0,103.9838,30.6637,500.0,103.9838,30.659189956034805
126.458780.33,458780,300.0,103.9838,30.6637,500.0,103.97928171119585,30.665954942265316
126.458781.31,458781,80.0,104.028001,30.6316,500.0,104.03313723368365,30.63238306303324
126.458781.32,458781,180.0,104.028001,30.6316,500.0,104.028001,30.62708993374248
126.458781.33,458781,336.0,104.028001,30.6316,500.0,104.02587960510176,30.635720130503884
126.458782.31,458782,60.0,104.056111,30.632777,500.0,104.06062785114447,30.635031953099713
126.458782.32,458782,175.0,104.056111,30.632777,500.0,104.05656553885936,30.628284095931683
126.458782.33,458782,330.0,104.056111,30.632777,500.0,104.05350315049851,30.63668280256555
126.458783.31,458783,60.0,104.016,30.6524,500.0,104.02051776319038,30.654654946225204
126.458783.32,458783,200.0,104.016,30.6524,500.0,104.01421591519762,30.64816192543517
126.458783.33,458783,310.0,104.016,30.6524,500.0,104.01200377738328,30.655298942326073
126.458784.31,458784,60.0,104.059166,30.624722,500.0,104.06368247702083,30.626976955920856
126.458784.32,458784,180.0,104.059166,30.624722,500.0,104.059166,30.620211928967713
126.458784.33,458784,300.0,104.059166,30.624722,500.0,104.05464952297918,30.626976955920856
126.458785.31,458785,200.0,104.10833,30.65618,500.0,104.10654584579463,30.651941927900424
126.458785.32,458785,350.0,104.10833,30.65618,500.0,104.10742408023468,30.660621525189182
126.458786.31,458786,60.0,104.018,30.5837,500.0,104.02251457405266,30.58595497028151
126.458786.32,458786,180.0,104.018,30.5837,500.0,104.018,30.579189900502996
126.458786.33,458786,270.0,104.018,30.5837,500.0,104.01278713957137,30.583699895611275
126.458787.31,458787,60.0,104.074444,30.657222,500.0,104.0789619874468,30.659476944535516
126.458787.32,458787,180.0,104.074444,30.657222,500.0,104.074444,30.652711951534947
126.458787.33,458787,300.0,104.074444,30.657222,500.0,104.0699260125532,30.659476944535516
126.458787.4,458787,60.0,104.074444,30.657222,500.0,104.0789619874468,30.659476944535516
126.458787.5,458787,180.0,104.074444,30.657222,500.0,104.074444,30.652711951534947
126.458788.31,458788,70.0,104.052777,30.618888,500.0,104.05767733490033,30.620430443499284
126.458788.32,458788,210.0,104.052777,30.618888,500.0,104.05016973226608,30.614982134454635
126.458788.33,458788,310.0,104.052777,30.618888,500.0,104.04878215471284,30.621786957364158
126.458789.31,458789,60.0,104.037001,30.6345,500.0,104.04151793119081,30.63675495249619
126.458789.32,458789,180.0,104.037001,30.6345,500.0,104.037001,30.629989935755862
